epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6449.27,0.97234,0.65965,1.21218,0.90247,0.90872,0.95163,0.72755,0.75175,0.41086,1.06716,0.005842,0.005842,0.005842
44,6633.99,0.97076,0.653,1.20706,0.89947,0.89525,0.94578,0.73625,0.74042,0.40981,1.05484,0.005743,0.005743,0.005743
45,6820.11,0.95979,0.64876,1.20741,0.89925,0.91246,0.94586,0.72868,0.75005,0.41565,1.06691,0.005644,0.005644,0.005644
46,7004.34,0.95085,0.64,1.2055,0.9046,0.93554,0.94865,0.73454,0.73443,0.39011,1.05557,0.005545,0.005545,0.005545
47,7188.49,0.95226,0.6384,1.20148,0.88606,0.90116,0.9389,0.72785,0.74257,0.40666,1.06431,0.005446,0.005446,0.005446
48,7372.95,0.94176,0.632,1.19658,0.90559,0.90696,0.95052,0.73878,0.73969,0.38694,1.05449,0.005347,0.005347,0.005347
49,7563.6,0.94292,0.62946,1.19278,0.88895,0.90858,0.94558,0.73426,0.73522,0.39436,1.05542,0.005248,0.005248,0.005248
50,7747.74,0.94219,0.61824,1.19094,0.88412,0.91597,0.94829,0.73268,0.73564,0.39007,1.05786,0.005149,0.005149,0.005149
51,7931.02,0.926,0.61667,1.18503,0.88923,0.92015,0.94194,0.72897,0.7373,0.39512,1.06091,0.00505,0.00505,0.00505
52,8115.17,0.93458,0.61428,1.18951,0.91503,0.89477,0.94537,0.73317,0.73051,0.3909,1.05686,0.004951,0.004951,0.004951
53,8301.04,0.92397,0.61059,1.18664,0.8927,0.92964,0.94902,0.7397,0.72806,0.38109,1.05254,0.004852,0.004852,0.004852
54,8486.38,0.91394,0.59867,1.18068,0.91316,0.89502,0.94942,0.73913,0.72437,0.38258,1.05335,0.004753,0.004753,0.004753
55,8671.43,0.91811,0.59134,1.17688,0.91556,0.90702,0.94985,0.74246,0.7207,0.3855,1.0582,0.004654,0.004654,0.004654
56,8856.2,0.905,0.58916,1.17221,0.89636,0.91752,0.94834,0.73899,0.71668,0.38731,1.04644,0.004555,0.004555,0.004555
57,9040.91,0.89999,0.59248,1.1706,0.90147,0.9058,0.94352,0.7398,0.71815,0.38651,1.04235,0.004456,0.004456,0.004456
58,9226.13,0.89754,0.58549,1.16481,0.90243,0.90988,0.94424,0.74578,0.70001,0.37731,1.0338,0.004357,0.004357,0.004357
59,9418.4,0.88633,0.57436,1.16277,0.90189,0.91563,0.9518,0.74727,0.71058,0.37047,1.03594,0.004258,0.004258,0.004258
60,9601.93,0.89073,0.57841,1.16559,0.90709,0.91664,0.94504,0.7409,0.721,0.3785,1.0462,0.004159,0.004159,0.004159
61,9784.26,0.8886,0.56915,1.15631,0.90516,0.9143,0.94529,0.74665,0.7044,0.36715,1.03522,0.00406,0.00406,0.00406
62,9931.97,0.87818,0.56844,1.15246,0.91816,0.91196,0.94599,0.74742,0.69674,0.36928,1.03179,0.003961,0.003961,0.003961
63,10078.7,0.86777,0.56288,1.14811,0.88915,0.92169,0.94516,0.75243,0.69815,0.37335,1.03951,0.003862,0.003862,0.003862
64,10218.6,0.86154,0.55067,1.14698,0.908,0.9129,0.95282,0.75092,0.69938,0.36246,1.03192,0.003763,0.003763,0.003763
65,10364.4,0.85492,0.54651,1.14584,0.90972,0.9095,0.94997,0.74907,0.70854,0.37095,1.03917,0.003664,0.003664,0.003664
66,10538.4,0.85356,0.54384,1.14554,0.90693,0.91331,0.94634,0.74579,0.69808,0.36908,1.03713,0.003565,0.003565,0.003565
67,10697.9,0.83714,0.5357,1.1398,0.90855,0.91837,0.94943,0.75175,0.69314,0.36659,1.03477,0.003466,0.003466,0.003466
68,10873.1,0.83407,0.53004,1.12984,0.91265,0.90639,0.95075,0.75421,0.69109,0.35814,1.03468,0.003367,0.003367,0.003367
69,11020.9,0.83962,0.53204,1.13232,0.90522,0.91917,0.95166,0.75294,0.69837,0.3639,1.03292,0.003268,0.003268,0.003268
70,11166.9,0.83287,0.52305,1.13029,0.90235,0.91816,0.9497,0.75151,0.699,0.35954,1.0341,0.003169,0.003169,0.003169
71,11323.3,0.82315,0.52143,1.12461,0.91658,0.89992,0.94487,0.74759,0.69744,0.36609,1.03083,0.00307,0.00307,0.00307
72,11481,0.82543,0.52487,1.12493,0.92381,0.91125,0.94931,0.75281,0.69832,0.36089,1.03494,0.002971,0.002971,0.002971
73,11634.4,0.82682,0.51941,1.12405,0.92279,0.91168,0.94952,0.75522,0.69169,0.3536,1.03001,0.002872,0.002872,0.002872
74,11787.6,0.81049,0.51581,1.11856,0.93363,0.90155,0.95023,0.74899,0.68733,0.35947,1.02823,0.002773,0.002773,0.002773
75,11941.9,0.80398,0.50273,1.11409,0.92332,0.9136,0.94908,0.75295,0.68592,0.35919,1.02727,0.002674,0.002674,0.002674
