epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,9979.02,0.90108,0.60285,1.21741,0.88112,0.9196,0.93363,0.73142,0.71499,0.40329,1.07813,0.005842,0.005842,0.005842
44,10210.8,0.89278,0.58874,1.20371,0.89234,0.90564,0.93492,0.72581,0.72334,0.39964,1.08987,0.005743,0.005743,0.005743
45,10443.2,0.8824,0.58439,1.20184,0.90311,0.91902,0.9431,0.73702,0.71223,0.39179,1.07844,0.005644,0.005644,0.005644
46,10674.8,0.8776,0.57922,1.20332,0.91123,0.91034,0.94337,0.738,0.71374,0.38489,1.07794,0.005545,0.005545,0.005545
47,10905.7,0.87792,0.57573,1.19703,0.9097,0.91101,0.94358,0.73822,0.70888,0.37858,1.07697,0.005446,0.005446,0.005446
48,11140.3,0.87116,0.57009,1.19293,0.9143,0.91506,0.94617,0.73958,0.70669,0.37722,1.08407,0.005347,0.005347,0.005347
49,11374.5,0.86365,0.56843,1.18865,0.8899,0.90636,0.94404,0.7398,0.70284,0.38132,1.07441,0.005248,0.005248,0.005248
50,11606.4,0.86494,0.55408,1.18698,0.89601,0.91681,0.94132,0.73699,0.7023,0.3759,1.07654,0.005149,0.005149,0.005149
51,11837.9,0.84827,0.5523,1.17714,0.90662,0.91622,0.94458,0.73958,0.71167,0.37443,1.08739,0.00505,0.00505,0.00505
52,12069.5,0.85727,0.54794,1.17907,0.91751,0.9056,0.94251,0.74173,0.70525,0.37832,1.07262,0.004951,0.004951,0.004951
53,12300.6,0.83607,0.54702,1.17326,0.91603,0.91105,0.94512,0.74353,0.69667,0.37623,1.07535,0.004852,0.004852,0.004852
54,12531.5,0.83141,0.53526,1.17214,0.90593,0.9152,0.94677,0.75022,0.69873,0.36724,1.07908,0.004753,0.004753,0.004753
55,12763.2,0.83126,0.52572,1.16226,0.91775,0.91218,0.95144,0.75387,0.6939,0.36576,1.07145,0.004654,0.004654,0.004654
56,12994.7,0.81685,0.51997,1.15458,0.92066,0.91658,0.94952,0.75615,0.68191,0.36581,1.06202,0.004555,0.004555,0.004555
57,13226,0.81638,0.52411,1.15514,0.90653,0.92656,0.95035,0.75109,0.68823,0.36179,1.06826,0.004456,0.004456,0.004456
58,13457.4,0.80728,0.5173,1.1441,0.92884,0.89965,0.94953,0.74998,0.67967,0.35422,1.05572,0.004357,0.004357,0.004357
59,13689.4,0.79717,0.51516,1.14516,0.91216,0.91517,0.94752,0.75138,0.67817,0.36153,1.06357,0.004258,0.004258,0.004258
60,13920.9,0.79924,0.50839,1.15054,0.94244,0.8911,0.94828,0.75017,0.68673,0.35798,1.06973,0.004159,0.004159,0.004159
61,14153,0.79259,0.50178,1.14154,0.92268,0.91026,0.94939,0.75204,0.68104,0.34864,1.06559,0.00406,0.00406,0.00406
62,14384.8,0.78524,0.49897,1.13419,0.91959,0.92106,0.95154,0.76037,0.6737,0.35542,1.06353,0.003961,0.003961,0.003961
63,14617.3,0.78246,0.50006,1.13374,0.92752,0.90607,0.94885,0.75595,0.67707,0.35242,1.06371,0.003862,0.003862,0.003862
64,14848.1,0.77079,0.48649,1.12708,0.92933,0.91173,0.95227,0.75221,0.67716,0.35022,1.06323,0.003763,0.003763,0.003763
65,15079.7,0.7596,0.47752,1.12631,0.93838,0.90307,0.9505,0.76047,0.66824,0.35165,1.05699,0.003664,0.003664,0.003664
66,15311.1,0.76061,0.47613,1.11969,0.90383,0.92912,0.94811,0.75199,0.67248,0.35859,1.05442,0.003565,0.003565,0.003565
67,15542.1,0.74175,0.46734,1.11154,0.92394,0.91865,0.94868,0.76245,0.66168,0.34463,1.05049,0.003466,0.003466,0.003466
68,15774,0.73857,0.46475,1.10912,0.91007,0.92222,0.95018,0.75893,0.66689,0.34512,1.05993,0.003367,0.003367,0.003367
69,16006.4,0.74403,0.46425,1.11537,0.93616,0.90321,0.95042,0.75928,0.66445,0.34789,1.06815,0.003268,0.003268,0.003268
70,16238,0.7369,0.46196,1.10895,0.91631,0.91645,0.95133,0.75815,0.66461,0.34881,1.05932,0.003169,0.003169,0.003169
71,16469.3,0.72703,0.45344,1.10314,0.92584,0.91415,0.9497,0.75471,0.66377,0.34752,1.05749,0.00307,0.00307,0.00307
72,16701.1,0.72435,0.45774,1.10532,0.93298,0.899,0.95113,0.75951,0.66412,0.35365,1.06387,0.002971,0.002971,0.002971
73,16932.9,0.72755,0.44737,1.10187,0.94322,0.88919,0.95191,0.76257,0.65793,0.34671,1.06111,0.002872,0.002872,0.002872
74,17164.4,0.71773,0.44913,1.0964,0.93453,0.91089,0.95296,0.763,0.65894,0.34578,1.06029,0.002773,0.002773,0.002773
75,17396.6,0.70871,0.43845,1.09071,0.93536,0.9091,0.94925,0.76261,0.65779,0.33463,1.05766,0.002674,0.002674,0.002674
76,17628.9,0.69888,0.43462,1.08685,0.92502,0.91824,0.95319,0.76339,0.6627,0.3332,1.0585,0.002575,0.002575,0.002575
77,17873.6,0.68809,0.43197,1.08815,0.93177,0.90653,0.95315,0.76196,0.65991,0.33795,1.06896,0.002476,0.002476,0.002476
78,18182.7,0.68994,0.42646,1.08286,0.93965,0.90439,0.95221,0.75847,0.6579,0.33916,1.067,0.002377,0.002377,0.002377
79,18493.5,0.68778,0.42672,1.07903,0.9493,0.89669,0.95213,0.75915,0.6563,0.34004,1.05866,0.002278,0.002278,0.002278
80,18802.5,0.68342,0.42329,1.08015,0.95263,0.89582,0.95248,0.76202,0.65426,0.33843,1.06179,0.002179,0.002179,0.002179
81,19109.3,0.67402,0.41492,1.07079,0.91436,0.92065,0.95236,0.76177,0.64789,0.33901,1.0575,0.00208,0.00208,0.00208
82,19419.9,0.66293,0.41012,1.06837,0.92125,0.91324,0.94939,0.76615,0.64797,0.34057,1.05777,0.001981,0.001981,0.001981
83,19731.3,0.65657,0.40598,1.06701,0.94288,0.89817,0.95084,0.767,0.64828,0.34002,1.05922,0.001882,0.001882,0.001882
84,20030.6,0.65623,0.40461,1.06747,0.95084,0.90412,0.95015,0.76374,0.6482,0.33921,1.05786,0.001783,0.001783,0.001783
85,20332.7,0.64572,0.39826,1.06272,0.93309,0.90864,0.9484,0.7624,0.64563,0.33778,1.05984,0.001684,0.001684,0.001684
86,20625.6,0.6364,0.38977,1.06007,0.94336,0.88931,0.946,0.76196,0.64675,0.3415,1.06472,0.001585,0.001585,0.001585
87,20905.5,0.63398,0.39,1.05606,0.91652,0.91555,0.95072,0.76088,0.65087,0.34238,1.06822,0.001486,0.001486,0.001486
88,21211.8,0.63634,0.3895,1.05306,0.92009,0.91436,0.94958,0.76041,0.65106,0.33825,1.06869,0.001387,0.001387,0.001387
89,21564.1,0.62333,0.38694,1.04668,0.93576,0.91167,0.95259,0.75927,0.64736,0.33702,1.06239,0.001288,0.001288,0.001288
90,21813.9,0.6281,0.38703,1.04923,0.93469,0.91493,0.95099,0.75988,0.64549,0.33613,1.05677,0.001189,0.001189,0.001189
91,22076,0.52853,0.26706,0.98209,0.94414,0.91094,0.95125,0.76143,0.64772,0.33764,1.05671,0.00109,0.00109,0.00109
92,22322.9,0.51691,0.25755,0.97518,0.93182,0.9187,0.94864,0.76273,0.64791,0.33404,1.05642,0.000991,0.000991,0.000991
93,22570.3,0.51016,0.25215,0.96943,0.93787,0.91226,0.95112,0.7638,0.64522,0.33288,1.05916,0.000892,0.000892,0.000892
94,22818.4,0.50017,0.24967,0.96453,0.93263,0.91772,0.95098,0.76551,0.64497,0.33421,1.06027,0.000793,0.000793,0.000793
95,23066.5,0.49107,0.24406,0.96269,0.93268,0.91893,0.95058,0.76665,0.64383,0.33338,1.06101,0.000694,0.000694,0.000694
96,23313.2,0.4797,0.23811,0.95863,0.93328,0.91918,0.95019,0.76839,0.64264,0.33238,1.06114,0.000595,0.000595,0.000595
97,23559.2,0.47322,0.23916,0.94938,0.93176,0.91637,0.9501,0.76739,0.6426,0.33361,1.06279,0.000496,0.000496,0.000496
98,23805.5,0.4713,0.23363,0.94932,0.93146,0.91839,0.95008,0.76727,0.64093,0.33319,1.06247,0.000397,0.000397,0.000397
99,24051.3,0.4616,0.23281,0.94739,0.92915,0.91925,0.94948,0.76912,0.63945,0.33529,1.0623,0.000298,0.000298,0.000298
100,24297.3,0.46051,0.23075,0.94525,0.93481,0.91591,0.94875,0.77012,0.63904,0.33617,1.06304,0.000199,0.000199,0.000199
